"site","species","foraging","diet","count"
"a_1","amro","ground","omnivore",5
"a_1","blja","ground","omnivore",1
"a_1","cach","foliage","insectivore",1
"a_1","carw","ground","insectivore",1
"a_1","cedw","foliage","omnivore",2
"a_1","grca","ground","omnivore",2
"a_1","noca","ground","omnivore",3
"a_1","rbwo","bark","omnivore",1
"a_1","revi","foliage","insectivore",1
"a_1","tuti","foliage","insectivore",3
"a_1","wbnu","bark","insectivore",1
"a_2","amgo","foliage","granivore",3
"a_2","amro","ground","omnivore",1
"a_2","blja","ground","omnivore",1
"a_2","cach","foliage","insectivore",2
"a_2","carw","ground","insectivore",1
"a_2","grca","ground","omnivore",6
"a_2","hofi","ground","granivore",3
"a_2","howr","ground","insectivore",1
"a_2","modo","ground","granivore",2
"a_2","noca","ground","omnivore",9
"a_2","rbwo","bark","omnivore",2
"a_2","sosp","ground","omnivore",2
"a_2","wbnu","bark","insectivore",1
"a_3","amcr","ground","omnivore",1
"a_3","amgo","foliage","granivore",1
"a_3","bhco","ground","omnivore",1
"a_3","cach","foliage","insectivore",2
"a_3","cogr","ground","omnivore",3
"a_3","ficr","ground","omnivore",2
"a_3","grca","ground","omnivore",2
"a_3","hofi","ground","granivore",1
"a_3","modo","ground","granivore",5
"a_3","sosp","ground","omnivore",2
"b_1","amcr","ground","omnivore",1
"b_1","cach","foliage","insectivore",2
"b_1","carw","ground","insectivore",3
"b_1","cedw","foliage","omnivore",2
"b_1","chsp","ground","omnivore",2
"b_1","grca","ground","omnivore",1
"b_1","howr","ground","insectivore",1
"b_1","modo","ground","granivore",1
"b_1","noca","ground","omnivore",2
"b_1","rbwo","bark","omnivore",1
"b_1","revi","foliage","insectivore",1
"b_1","tuti","foliage","insectivore",1
"b_2","amro","ground","omnivore",1
"b_2","bhco","ground","omnivore",3
"b_2","carw","ground","insectivore",3
"b_2","dowo","bark","insectivore",1
"b_2","eato","ground","omnivore",2
"b_2","grca","ground","omnivore",2
"b_2","hofi","ground","granivore",1
"b_2","howr","ground","insectivore",2
"b_2","modo","ground","granivore",1
"b_2","noca","ground","omnivore",14
"b_2","rthu","foliage","nectarivore",1
"b_2","rwbl","ground","omnivore",1
"b_2","sosp","ground","omnivore",2
"b_2","wbnu","bark","insectivore",2
"b_2","ysfl","ground","insectivore",1
"b_3","amcr","ground","omnivore",1
"b_3","amro","ground","omnivore",3
"b_3","blja","ground","omnivore",4
"b_3","cach","foliage","insectivore",3
"b_3","hofi","ground","granivore",1
"b_3","howr","ground","insectivore",1
"b_3","noca","ground","omnivore",7
"b_3","nomo","ground","omnivore",1
"b_3","rbwo","bark","omnivore",1
"b_3","tuti","foliage","insectivore",3
"b_3","wbnu","bark","insectivore",1
"c_1","amcr","ground","omnivore",1
"c_1","amro","ground","omnivore",1
"c_1","cach","foliage","insectivore",2
"c_1","carw","ground","insectivore",3
"c_1","cogr","ground","omnivore",1
"c_1","hofi","ground","granivore",6
"c_1","howr","ground","insectivore",1
"c_1","noca","ground","omnivore",5
"c_1","piwo","bark","insectivore",1
"c_1","tuti","foliage","insectivore",3
"c_2","amcr","ground","omnivore",1
"c_2","amro","ground","omnivore",1
"c_2","carw","ground","insectivore",1
"c_2","coye","foliage","insectivore",1
"c_2","grca","ground","omnivore",6
"c_2","howr","ground","insectivore",1
"c_2","modo","ground","granivore",1
"c_2","sosp","ground","omnivore",1
"c_2","tuti","foliage","insectivore",1
"c_3","amgo","foliage","granivore",1
"c_3","amro","ground","omnivore",4
