id,region,spp,date,count,sex
1,susquehanna,hellgrammite,2014-05-06,18,M
2,susquehanna,hellgrammite,2014-06-12,20,M
3,gulf of mexico,Sperm whale,4/21/2015,5,M
3,gulf of mexico,Sperm whale,2015-04-21,5,M
4,miami,green Iguana,2015-04-21,40,F
5,miami,green Iguana,4/26/2015,37,m
5,miami,green Iguana,2015-04-26,37,m
6,susquehanna,hellgrammite,2015-04-26,21,F
7,susquehanna,hellgrammite,2015-04-26,21,F
8,miami,green Iguana,2015-04-26,36,F
9,miami,green Iguana,2015-04-27,38,F
10,susquehanna,hellgramite,4/27/2015,19,M
10,susquehanna,hellgramite,2015-04-27,19,M
11,susquehanna,hellgramite,4/27/2015,16,M
11,susquehanna,hellgramite,2015-04-27,16,M
12,susquehanna,hellgrammite,2015-04-28,24,F
13,susquehanna,hellgrammite,2015-04-28,20,M?
14,susquehanna,hellgrammite,2015-04-28,21,F
15,susquehanna,hellgrammite,2015-04-28,19,F?
16,susquehanna,hellgrammite,2015-04-28,20,F
17,gulf of mexico,Sperm whale,4/30/2015,4,F
17,gulf of mexico,Sperm whale,2015-04-30,4,F
18,gulf of mexico,Sperm whale,2015-04-30,4,f
19,susquehanna,hellgrammite,2015-04-30,22,F
20,susquehanna,hellgrammite,2015-04-30,19,f
21,gulf of mexico,Sperm whale,2015-04-30,5,m
22,gulf of mexico,Sperm whale,2015-04-30,5,f
23,gulf of mexico,Sperm whale,2015-04-30,4,f
24,gulf of mexico,Sperm whale,4/30/2015,5,m
24,gulf of mexico,Sperm whale,2015-04-30,5,m
25,miami,green Iguana,2015-05-01,35,F
26,susquehanna,hellgrammite,2015-05-02,18,M
27,susquehanna,hellgrammite,2015-05-02,20,f
28,miami,green Iguana,2015-05-05,36,M
29,gulf of mexico,Sperm whale,2015-05-06,5,M
30,gulf of mexico,Sperm whale,2015-05-06,5,M
31,gulf of mexico,Sperm whale,2015-05-06,4,F
32,susquehanna,hellgrammite,2015-05-06,21,F
33,susquehanna,hellgrammite,2015-05-07,20,F
34,gulf of mexico,Sperm whale,2015-05-07,4,f
35,gulf of mexico,Sperm whale,2015-05-07,4,M?
36,susquehanna,hellgrammite,2015-05-07,19,F
37,susquehanna,hellgrammite,2015-05-11,18,M
38,gulf of mexico,Sperm whale,2015-05-15,4,F
39,susquehanna,hellgrammite,5/16/2015,21,F
39,susquehanna,hellgrammite,2015-05-16,21,F
40,susquehanna,hellgrammite,2015-05-16,21,M
41,susquehanna,hellgrammite,5/16/2015,21,F
41,susquehanna,hellgrammite,2015-05-16,21,F
42,miami,green Iguana,2015-05-16,35,M
43,miami,green Iguana,5/16/2015,35,F
43,miami,green Iguana,2015-05-16,35,F
44,susquehanna,hellgrammite,2015-05-17,20,M
45,susquehanna,hellgrammite,5/17/2015,21,m
45,susquehanna,hellgrammite,2015-05-17,21,m
46,susquehanna,hellgrammite,2015-05-17,20,M
47,susquehanna,hellgrammite,2015-05-17,19,F
48,susquehanna,hellgrammite,2015-05-18,22,m
49,miami,green Iguana,2015-05-21,33,f
50,miami,green Iguana,2015-05-21,36,F
51,gulf of mexico,Sperm whale,2015-05-22,5,M
52,susquehanna,hellgrammite,2015-05-26,18,m
53,gulf of mexico,Sperm whale,2015-05-26,4,F
54,gulf of mexico,Sperm whale,2015-05-26,4,F
55,miami,green Iguana,2015-05-26,35,F
56,susquehanna,hellgrammite,5/27/2015,20,m
56,susquehanna,hellgrammite,2015-05-27,20,m
57,susquehanna,hellgrammite,2015-05-27,22,F
58,susquehanna,hellgramite,2015-05-28,17,F
59,susquehanna,hellgramite,2015-05-28,16,m
60,miami,green Iguana,2015-05-28,37,F
61,susquehanna,hellgrammite,2015-05-29,18,F
62,susquehanna,hellgrammite,2015-05-29,20,F
63,gulf of mexico,Sperm whale,2015-05-30,5,F
64,gulf of mexico,Sperm whale,2015-05-30,4,M?
65,gulf of mexico,Sperm whale,2015-05-30,5,M?
66,gulf of mexico,Sperm whale,5/30/2015,5,F
66,gulf of mexico,Sperm whale,2015-05-30,5,F
67,susquehanna,hellgrammite,2015-05-30,19,M
68,susquehanna,hellgrammite,2015-05-31,20,m
69,miami,green Iguana,2015-05-31,33,M
70,susquehanna,hellgramite,2015-05-31,16,m
71,susquehanna,hellgramite,2015-05-31,17,M
72,gulf of mexico,Sperm whale,2015-06-01,5,M
73,susquehanna,hellgrammite,6/1/2015,20,M
73,susquehanna,hellgrammite,2015-06-01,20,M
74,susquehanna,hellgrammite,2015-06-01,22,f
75,susquehanna,hellgrammite,2015-06-01,20,F
76,gulf of mexico,Sperm whale,6/1/2015,5,M
76,gulf of mexico,Sperm whale,2015-06-01,5,M
77,susquehanna,hellgrammite,6/2/2015,19,F
77,susquehanna,hellgrammite,2015-06-02,19,F
78,susquehanna,hellgrammite,6/2/2015,20,F
78,susquehanna,hellgrammite,2015-06-02,20,F
79,susquehanna,hellgrammite,2015-06-02,20,m
80,susquehanna,hellgrammite,2015-06-02,18,M
81,susquehanna,hellgramite,2015-06-02,17,F
82,gulf of mexico,Sperm whale,2015-06-03,4,f
83,susquehanna,hellgrammite,2015-06-03,20,M
84,susquehanna,hellgrammite,6/5/2015,20,m
84,susquehanna,hellgrammite,2015-06-05,20,m
85,susquehanna,hellgrammite,2015-06-05,18,m
86,gulf of mexico,Sperm whale,2015-06-06,5,f
87,gulf of mexico,Sperm whale,6/6/2015,5,f
87,gulf of mexico,Sperm whale,2015-06-06,5,f
88,gulf of mexico,Sperm whale,2015-06-06,5,M
89,gulf of mexico,Sperm whale,2015-06-06,5,F
90,gulf of mexico,Sperm whale,2015-06-06,5,F
91,miami,green Iguana,2015-06-06,36,m
92,gulf of mexico,Sperm whale,2015-06-07,4,F
93,gulf of mexico,Sperm whale,2015-06-07,4,f
94,susquehanna,hellgrammite,2015-06-08,22,F
95,susquehanna,hellgrammite,2015-06-09,20,m?
96,susquehanna,hellgramite,2015-06-10,17,M
97,susquehanna,hellgrammite,2015-06-10,21,M
98,susquehanna,hellgrammite,2015-06-10,23,f
99,gulf of mexico,Sperm whale,2015-06-14,5,f
100,susquehanna,hellgrammite,2015-06-14,19,m
101,susquehanna,hellgrammite,2015-06-16,21,M
102,susquehanna,hellgrammite,2015-06-16,19,M
103,susquehanna,hellgrammite,2015-06-17,19,M
104,susquehanna,hellgrammite,2015-06-17,20,M
105,susquehanna,hellgrammite,6/17/2015,22,m
105,susquehanna,hellgrammite,2015-06-17,22,m
106,susquehanna,hellgrammite,2015-06-17,20,M
107,susquehanna,hellgrammite,2015-06-17,20,m
108,susquehanna,hellgrammite,2015-06-17,19,F
109,susquehanna,hellgrammite,2015-06-17,17,F
110,susquehanna,hellgrammite,2015-06-17,21,M
111,susquehanna,hellgrammite,6/17/2015,21,f?
111,susquehanna,hellgrammite,2015-06-17,21,f?
112,miami,green Iguana,2015-06-18,33,M
113,susquehanna,hellgramite,2015-06-18,17,M
114,susquehanna,hellgrammite,2015-06-18,20,m
115,miami,green Iguana,2015-06-18,38,F
116,miami,green Iguana,2015-06-22,32,M
117,susquehanna,hellgramite,2015-06-22,20,F
118,susquehanna,hellgrammite,2015-06-24,19,M
119,susquehanna,hellgrammite,2015-06-25,19,F
120,gulf of mexico,Sperm whale,2015-06-25,5,M
121,susquehanna,hellgrammite,2015-06-26,19,M
122,susquehanna,hellgramite,2015-06-30,17,M
123,miami,green Iguana,2015-07-06,37,F
124,susquehanna,hellgrammite,2015-07-07,21,m
125,susquehanna,hellgrammite,3/21/2016,22,F
